"station_id","station_name"
"NS10","Admiralty"
"EW9","Aljunied"
"NS16","Ang Mo Kio"
"CC12","Bartley"
"CE1","Bayfront"
"DT5","Beauty World"
"EW5","Bedok"
"DT29","Bedok North"
"DT30","Bedok Reservoir"
"DT21","Bencoolen"
"DT23","Bendemeer"
"CC15","Bishan"
"NE9","Boon Keng"
"EW27","Boon Lay"
"CC19","Botanic Gardens"
"NS18","Braddell"
"CC2","Bras Basah"
"TE7","Bright Hill"
"NE15","Buangkok"
"EW12","Bugis"
"NS2","Bukit Batok"
"NS3","Bukit Gombak"
"DT1","Bukit Panjang"
"EW21","Buona Vista"
"CC17","Caldecott"
"NS12","Canberra"
"DT2","Cashew"
"CG2","Changi Airport"
"NE4","Chinatown"
"EW25","Chinese Garden"
"NS4","Choa Chu Kang"
"EW13","City Hall"
"NE5","Clarke Quay"
"EW23","Clementi"
"EW20","Commonwealth"
"CC8","Dakota"
"NS24","Dhoby Ghaut"
"EW22","Dover"
"DT17","Downtown"
"CC3","Esplanade"
"EW7","Eunos"
"CG1","Expo"
"NE8","Farrer Park"
"CC20","Farrer Road"
"DT20","Fort Canning"
"DT24","Geylang Bahru"
"EW30","Gul Circle"
"NE1","HarbourFront"
"CC25","Haw Par Villa"
"DT3","Hillview"
"CC21","Holland Village"
"NE14","Hougang"
"DT22","Jalan Besar"
"EW29","Joo Koon"
"EW24","Jurong East"
"DT28","Kaki Bukit"
"EW10","Kallang"
"EW6","Kembangan"
"CC24","Kent Ridge"
"NS14","Khatib"
"DT6","King Albert Park"
"NE13","Kovan"
"NS7","Kranji"
"CC27","Labrador Park"
"EW26","Lakeside"
"EW11","Lavender"
"TE5","Lentor"
"NE7","Little India"
"CC14","Lorong Chuan"
"CC10","MacPherson"
"NS27","Marina Bay"
"NS28","Marina South Pier"
"NS8","Marsiling"
"CC16","Marymount"
"DT25","Mattar"
"TE6","Mayflower"
"CC7","Mountbatten"
"NS21","Newton"
"CC5","Nicoll Highway"
"NS20","Novena"
"CC23","one-north"
"NS22","Orchard"
"EW16","Outram Park"
"CC26","Pasir Panjang"
"EW1","Pasir Ris"
"EW8","Paya Lebar"
"EW28","Pioneer"
"NE10","Potong Pasir"
"CC4","Promenade"
"NE17","Punggol"
"EW19","Queenstown"
"EW14","Raffles Place"
"EW18","Redhill"
"PE4","Riviera"
"DT13","Rochor"
"NS11","Sembawang"
"NE16","Sengkang"
"NE12","Serangoon"
"EW3","Simei"
"DT7","Sixth Avenue"
"NS23","Somerset"
"TE4","Springleaf"
"CC6","Stadium"
"DT10","Stevens"
"CC11","Tai Seng"
"EW2","Tampines"
"DT33","Tampines East"
"DT31","Tampines West"
"DT8","Tan Kah Kee"
"EW4","Tanah Merah"
"EW15","Tanjong Pagar"
"DT18","Telok Ayer"
"CC28","Telok Blangah"
"EW17","Tiong Bahru"
"NS19","Toa Payoh"
"EW31","Tuas Crescent"
"EW33","Tuas Link"
"EW32","Tuas West Road"
"DT27","Ubi"
"DT34","Upper Changi"
"TE8","Upper Thomson"
"NS9","Woodlands"
"TE1","Woodlands North"
"TE3","Woodlands South"
"NE11","Woodleigh"
"NS5","Yew Tee"
"NS15","Yio Chu Kang"
"NS13","Yishun"
"BP2","South View"
"BP3","Keat Hong"
"BP4","Teck Whye"
"BP5","Phoenix"
"BP7","Petir"
"BP8","Pending"
"BP9","Bangkit"
"BP10","Fajar"
"BP11","Segar"
"BP12","Jelapang"
"BP13","Senja"
"SE1","Compassvale"
"SE2","Rumbia"
"SE3","Bakau"
"SE4","Kangkar"
"SE5","Ranggung"
"SW1","Cheng Lim"
"SW2","Farmway"
"SW3","Kupang"
"SW4","Thanggam"
"SW5","Fernvale"
"SW6","Layar"
"SW7","Tongkang"
"SW8","Renjong"
"PE1","Cove"
"PE2","Meridian"
"PE3","Coral Edge"
"PE4","Riviera"
"PE5","Kadaloor"
"PE6","Oasis"
"PE7","Damai"
"PW1","Sam Kee"
"PW2","Teck Lee"
"PW3","Punggol Point"
"PW4","Samudera"
"PW5","Nibong"
"PW6","Sumang"
"PW7","Soo Teck"